,No Parlimen,Kawasan Parlimen,Negeri,Yang Berhormat,Gabungan,Parti,Jawatan,ADUN
0,P001,Padang Besar,PERLIS,Tuan Rushdan Rusmi,PN,PAS,,
1,P002,Kangar,PERLIS,Tuan Zakri Hassan,PN,BERSATU,,
2,P003,Arau,PERLIS,Dato' Seri Dr. Shahidan Kassim,PN,PAS,,
3,P004,Langkawi,KEDAH,Dato' Mohd Suhaimi Abdullah,PN,BERSATU,,
4,P005,Jerlun,KEDAH,Dr. Abdul Ghani Ahmad,PN,PAS,,
5,P006,Kubang Pasu,KEDAH,Dato' Wira Dr. Ku Abdul Rahman Ku Ismail,PN,BERSATU,,"Guar Chempedak (Kedah)
EXCO Kerajaan Negeri Kedah"
6,P007,Padang Terap,KEDAH,Ustaz Nurul Amin Hamid,PN,PAS,,
7,P008,Pokok Sena,KEDAH,Dato' Ahmad Yahaya,PN,PAS,,
8,P009,Alor Setar,KEDAH,Ustaz Afnan Hamimi Taib Azamudden,PN,PAS,,
9,P010,Kuala Kedah,KEDAH,,PN,PAS,,
10,P011,Pendang,KEDAH,Datuk Haji Awang Hashim,PN,PAS,,
11,P012,Jerai,KEDAH,Ustaz Sabri Azit,PN,PAS,,
12,P013,Sik,KEDAH,Tuan Ahmad Tarmizi Sulaiman,PN,PAS,,
13,P014,Merbok,KEDAH,Tuan Mohd Nazri Abu Hassan,PN,BERSATU,,
14,P015,Sungai Petani,KEDAH,Dr. Taufiq Johari,PH,PKR,,
15,P016,Baling,KEDAH,Ustaz Hassan Saad,PN,PAS,,
16,P017,Padang Serai,KEDAH,Dato' Azman Nasrudin,PN,BERSATU,,"Lunas (Kedah)
EXCO Kerajaan Negeri Kedah"
17,P018,Kulim-Bandar Baharu,KEDAH,Dato' Roslan Hashim,PN,BERSATU,,
18,P019,Tumpat,KELANTAN,Datuk Mumtaz Md Nawi,PN,PAS,,"Demit (Kelantan)
EXCO Kerajaan Negeri Kelantan"
19,P020,Pengkalan Chepa,KELANTAN,Datuk Ahmad Marzuk Shaary,PN,PAS,,
20,P021,Kota Bharu,KELANTAN,Datuk Seri Takiyuddin Hassan,PN,PAS,,
21,P022,Pasir Mas,KELANTAN,Ustaz Ahmad Fadhli Shaari,PN,PAS,,
22,P023,Rantau Panjang,KELANTAN,Ustazah Dato' Siti Zailah Mohd Yusoff @ Kak Lah,PN,PAS,,
23,P024,Kubang Kerian,KELANTAN,Ustaz Dato' Tuan Ibrahim Tuan Man,PN,PAS,Ketua Pembangkang Dewan Negeri Pahang,Cheka (Pahang)
24,P025,Bachok,KELANTAN,Tuan Syahir Che Sulaiman,PN,PAS,,
25,P026,Ketereh,KELANTAN,Mej Jen Dato Hj Khlir Mohd Nor,PN,BERSATU,,
26,P027,Tanah Merah,KELANTAN,Dato' Sri Ikmal Hisham Abdul Aziz,PN,BERSATU,,
27,P028,Pasir Puteh,KELANTAN,Ustaz Datuk Nik Muhammad Zawawi Salleh,PN,PAS,,
28,P029,Machang,KELANTAN,Tuan Wan Ahmad Fayhsal Wan Ahmad Kamal,PN,BERSATU,,
29,P030,Jeli,KELANTAN,Tuan Zahari Kechik,PN,BERSATU,,
30,P031,Kuala Krai,KELANTAN,Ustaz Abdul Latiff Abdul Rahman,PN,PAS,,
31,P032,Gua Musang,KELANTAN,Tuan Mohd Azizi Abu Naim,PN,BERSATU,,
32,P033,Besut,TERENGGANU,Datuk Che Mohamad Zulkifly Jusoh,PN,PAS,,
33,P034,Setiu,TERENGGANU,Ustaz Shaharizukirnain Abd Kadir,PN,PAS,,
34,P035,Kuala Nerus,TERENGGANU,Dato' Dr. Haji Alias Razak,PN,PAS,,"Bukit Tunggal (Terengganu)
EXCO Kerajaan Negeri Terengganu"
35,P036,Kuala Terengganu,TERENGGANU,Datuk haji Ahmad Amzad Hashim,PN,PAS,,
36,P037,Marang,TERENGGANU,Tan Sri Dato' Seri Tuan Guru Haji Abdul Hadi Awang,PN,PAS,,
37,P038,Hulu Terengganu,TERENGGANU,Dato Rosol Wahid,PN,BERSATU,,
38,P039,Dungun,TERENGGANU,Ustaz Wan Hassan Mohd Ramli,PN,PAS,,
39,P040,Kemaman,TERENGGANU,Ustaz Che Alias Hamid,PN,PAS,,
40,P041,Kepala Batas,PULAU PINANG,Dr. Siti Mastura Muhammad,PN,PAS,,
41,P042,Tasek Gelugor,PULAU PINANG,Datuk Wan Saiful Wan Jan,PN,BERSATU,,
42,P043,Bagan,PULAU PINANG,Tuan Lim Guan Eng,PH,DAP,,
43,P044,Permatag Pauh,PULAU PINANG,Ustaz Muhammad Fawwaz Mohamad Jan,PN,PAS,,
44,P045,Bukit Mertajam,PULAU PINANG,Tuan Sim Chee Keong,PH,DAP,Timbalan Menteri Kewangan,
45,P046,Batu Kawan,PULAU PINANG,Tuan Chow Kon Yeow,PH,DAP,Ketua Menteri Pulau Pinang,Padang Kota (Pulau Pinang)
46,P047,Nibong Tebal,PULAU PINANG,Puan Fadhlina Sidek,PH,PKR,Menteri Pendidikan,
47,P048,Bukit Bendera,PULAU PINANG,Puan Syerleena Abdul Rashid,PH,DAP,,Seri Delima (Pulau Pinang)
