,Parti,Nama Calon,Undi,Majoriti,Tahun,Negeri,Kawasan DUN,Kod Parlimen,Keputusan,Jumlah Undi,Bahagian Undi(%),Jumlah Layak Mengundi,Pengundi Melayu(%),Pengundi Cina(%),Pengundi India(%),Pengundi Lain-Lain(%),Pengundi Melayu Islam Bumiputera(%),Pengundi Melayu Bukan Islam Bumiputera(%),Pengundi Sabah Bumiputera(%)
0,MCA,LOH YOON FOO,3668,2192,2004,Perlis,TITI TINGGI,001-001,Menang,5144,71.30637636,6887,71,25,3,0,0,0,0
1,PKR,KO CHU LIANG,1476,0,2004,Perlis,TITI TINGGI,001-001,Kalah,5144,28.69362364,6887,71,25,3,0,0,0,0
2,UMNO,DATUK ZAHIDI ZAINUL ABIDIN,3492,1871,2004,Perlis,BESERI,001-002,Menang,5113,68.29649912,6645,75,23,1,1,0,0,0
3,PAS,MOHD ANUAR MOHD TAHIR,1621,0,2004,Perlis,BESERI,001-002,Kalah,5113,31.70350088,6645,75,23,1,1,0,0,0
4,UMNO,MANSOR JUSOH,4632,2590,2004,Perlis,CHUPING,001-003,Menang,6674,69.40365598,7802,85,4,2,10,0,0,0
5,PAS,MOHD ALI PUTEH,2042,0,2004,Perlis,CHUPING,001-003,Kalah,6674,30.59634402,7802,85,4,2,10,0,0,0
6,UMNO,KHAIRI HASSAN,3041,1603,2004,Perlis,MATA AYER,001-004,Menang,4479,67.89461933,5557,90,4,2,4,0,0,0
7,PAS,SUWARDI YAACOB,1438,0,2004,Perlis,MATA AYER,001-004,Kalah,4479,32.10538067,5557,90,4,2,4,0,0,0
8,UMNO,SABRY AHMAD,3284,578,2004,Perlis,SANTAN,001-005,Menang,5990,54.82470785,7008,99,1,0,0,0,0,0
9,PAS,ZOLKHARNAIN ABIDIN,2706,0,2004,Perlis,SANTAN,001-005,Kalah,5990,45.17529215,7008,99,1,0,0,0,0,0
10,UMNO,RUSLI MAT HUSIN,4076,1508,2004,Perlis,BINTONG,002-006,Menang,6644,61.34858519,7850,96,3,1,0,0,0,0
11,PAS,ABDUL ZAKARIA,2568,0,2004,Perlis,BINTONG,002-006,Kalah,6644,38.65141481,7850,96,3,1,0,0,0,0
12,UMNO,AZIHANI ALI,4001,1584,2004,Perlis,SENA,002-007,Menang,6418,62.34029293,7979,82,11,4,3,0,0,0
13,PAS,AHMAD ADNAN FADZIL,2417,0,2004,Perlis,SENA,002-007,Kalah,6418,37.65970707,7979,82,11,4,3,0,0,0
14,MCA,OUI AH LAN,5243,3564,2004,Perlis,INDERA KAYANGAN,002-008,Menang,6922,75.74400462,9314,47,47,5,1,0,0,0
15,PKR,KHOO YANG CHONG,1679,0,2004,Perlis,INDERA KAYANGAN,002-008,Kalah,6922,24.25599538,9314,47,47,5,1,0,0,0
16,UMNO,BAKAR SAAD,4495,2824,2004,Perlis,KUALA PERLIS,002-009,Menang,6166,72.89977295,8024,77,22,0,1,0,0,0
17,PKR,MOHD YUSOF UBI @ MADARSA,1671,0,2004,Perlis,KUALA PERLIS,002-009,Kalah,6166,27.10022705,8024,77,22,0,1,0,0,0
18,UMNO,AZAM RASHID,3705,1327,2004,Perlis,KAYANG,002-010,Menang,6083,60.90744698,7349,95,3,1,2,0,0,0
19,PAS,KU MAHMOOD KU ISMAIL,2378,0,2004,Perlis,KAYANG,002-010,Kalah,6083,39.09255302,7349,95,3,1,2,0,0,0
20,UMNO,DATUK ABU BAKAR ISMAIL,3795,1585,2004,Perlis,PAUH,003-011,Menang,6005,63.19733555,7601,75,18,6,2,0,0,0
21,PAS,ABU BAKAR ALI,2210,0,2004,Perlis,PAUH,003-011,Kalah,6005,36.80266445,7601,75,18,6,2,0,0,0
22,UMNO,DATUK SERI SHAHIDAN KASSIM,4422,1742,2004,Perlis,TAMBUN TULANG,003-012,Menang,7102,62.26415094,8447,85,4,2,9,0,0,0
23,PAS,DATUK DR HARUN DIN,2680,0,2004,Perlis,TAMBUN TULANG,003-012,Kalah,7102,37.73584906,8447,85,4,2,9,0,0,0
