,NEGERI,BAHAGIAN PILIHAN RAYA,NAMA CALON,PARTI,BILANGAN UNDI,STATUS,KOD DAN NAMA PARLIMEN  ,NAMA DUN,JUMLAH UNDI,MAJORITI
0,JOHOR,N. 01 - BULOH KASAP,ZAHARI BIN SARIP,BN,9186,MENANG,P.140 - SEGAMAT,BULOH KASAP,17495,
1,JOHOR,N. 01 - BULOH KASAP,NORSAMSU BIN MOHD YUSOF,PKR,8309,,P.140 - SEGAMAT,BULOH KASAP,17495,
2,JOHOR,N. 02 - JEMENTAH,CHIAM YOK MENG,BN,9335,,P.140 - SEGAMAT,JEMENTAH,27657,
3,JOHOR,N. 02 - JEMENTAH,TAN CHEN CHOON,PKR,16336,MENANG,P.140 - SEGAMAT,JEMENTAH,27657,
4,JOHOR,N. 02 - JEMENTAH,KHAIRUL FAIZI BIN AHMAD KAMIL,PAS,1986,HILANG DEPOSIT,P.140 - SEGAMAT,JEMENTAH,27657,
5,JOHOR,N. 03 - PEMANIS,KOO SHIAW LEE,BN,7941,,P.141 - SEKIJANG,PEMANIS,18396,
6,JOHOR,N. 03 - PEMANIS,CHONG FAT FULL,PKR,8304,MENANG,P.141 - SEKIJANG,PEMANIS,18396,
7,JOHOR,N. 03 - PEMANIS,NORMALA BINTI SUDIRMAN,PAS,2151,HILANG DEPOSIT,P.141 - SEKIJANG,PEMANIS,18396,
8,JOHOR,N. 04 - KEMELAH,ANUAR BIN ABD. MANAP,BN,8481,,P.141 - SEKIJANG,KEMELAH,19317,
9,JOHOR,N. 04 - KEMELAH,SULAIMAN BIN MOHD NOR,PKR,10836,MENANG,P.141 - SEKIJANG,KEMELAH,19317,
10,JOHOR,N. 05 - TENANG,MOHD AZAHAR BIN IBRAHIM,BN,6575,,P.142 - LABIS,TENANG,15014,
11,JOHOR,N. 05 - TENANG,NASHARUDIN BIN AWANG,PAS,794,HILANG DEPOSIT,P.142 - LABIS,TENANG,15014,
12,JOHOR,N. 05 - TENANG,MOHD SOLIHAN BIN BADRI,PKR,7645,MENANG,P.142 - LABIS,TENANG,15014,
13,JOHOR,N. 06 - BEKOK,TAN CHONG,BN,7514,,P.142 - LABIS,BEKOK,17497,
14,JOHOR,N. 06 - BEKOK,RAMAKRISHNAN A/L SUPPIAH ,PKR,9983,MENANG,P.142 - LABIS,BEKOK,17497,
15,JOHOR,N. 07 - BUKIT KEPONG,MOHD NOOR BIN TAIB,BN,10392,,P.143 - PAGOH,BUKIT KEPONG,23818,
16,JOHOR,N. 07 - BUKIT KEPONG,SAHRUDDIN BIN JAMAL,PKR,11665,MENANG,P.143 - PAGOH,BUKIT KEPONG,23818,
17,JOHOR,N. 07 - BUKIT KEPONG,MUHAMAD NUR IQBAL BIN ABD RAZAK,PAS,1761,HILANG DEPOSIT,P.143 - PAGOH,BUKIT KEPONG,23818,
18,JOHOR,N. 08 - BUKIT PASIR,NORIAH BINTI MAHAT,BN,7952,,P.143 - PAGOH,BUKIT PASIR,17787,
19,JOHOR,N. 08 - BUKIT PASIR,NAJIB BIN LEP,PAS,9835,MENANG,P.143 - PAGOH,BUKIT PASIR,17787,
20,JOHOR,N. 09 - GAMBIR,M ASOJAN A/L MUNIYANDY,BN,7192,,P.144 - LEDANG,GAMBIR,19278,
21,JOHOR,N. 09 - GAMBIR,MAHFODZ BIN MOHAMED,PAS,1806,HILANG DEPOSIT,P.144 - LEDANG,GAMBIR,19278,
22,JOHOR,N. 09 - GAMBIR,MAHIADDIN BIN MD YASIN,PKR,10280,MENANG,P.144 - LEDANG,GAMBIR,19278,
23,JOHOR,N. 10 - TANGKAK,GOH TEE TEE,BN,8435,,P.144 - LEDANG,TANGKAK,21947,
24,JOHOR,N. 10 - TANGKAK,EE CHIN LI,PKR,13512,MENANG,P.144 - LEDANG,TANGKAK,21947,
25,JOHOR,N. 11 - SEROM,ABDULL RAHIM BIN TALIB,BN,9450,,P.144 - LEDANG,SEROM,23932,
26,JOHOR,N. 11 - SEROM,FAIZUL AMRI BIN ADNAN,PKR,11774,MENANG,P.144 - LEDANG,SEROM,23932,
27,JOHOR,N. 11 - SEROM,MUSTAFFA BIN SALLEH,PAS,2708,HILANG DEPOSIT,P.144 - LEDANG,SEROM,23932,
28,JOHOR,N. 12 - BENTAYAN,LEE KIM HENG,BN,4649,,P.145 - BAKRI,BENTAYAN,22927,
29,JOHOR,N. 12 - BENTAYAN,NG YAK HOWE ,PKR,18278,MENANG,P.145 - BAKRI,BENTAYAN,22927,
30,JOHOR,N. 13 - SIMPANG JERAM,MOHD RADZI BIN AMIN ,BN,6953,,P.145 - BAKRI,SIMPANG JERAM,23757,
31,JOHOR,N. 13 - SIMPANG JERAM,MOHD MAZRI BIN YAHYA,PAS,2136,HILANG DEPOSIT,P.145 - BAKRI,SIMPANG JERAM,23757,
32,JOHOR,N. 13 - SIMPANG JERAM,AHMAD BIN HASHIM,BEBAS,28,HILANG DEPOSIT,P.145 - BAKRI,SIMPANG JERAM,23757,
33,JOHOR,N. 13 - SIMPANG JERAM,SALAHUDDIN BIN AYUB ,PKR,14640,MENANG,P.145 - BAKRI,SIMPANG JERAM,23757,
34,JOHOR,N. 14 - BUKIT NANING,HASSAN BIN JOHARI,BN,5728,,P.145 - BAKRI,BUKIT NANING,15049,
35,JOHOR,N. 14 - BUKIT NANING,AZMAN BIN IBRAHIM,PAS,1677,HILANG DEPOSIT,P.145 - BAKRI,BUKIT NANING,15049,
36,JOHOR,N. 14 - BUKIT NANING,JEGANATHAN A/L SUBRAMANIAM,BEBAS,364,HILANG DEPOSIT,P.145 - BAKRI,BUKIT NANING,15049,
37,JOHOR,N. 14 - BUKIT NANING,MD YSAHRUDIN BIN KUSNI,PKR,7280,MENANG,P.145 - BAKRI,BUKIT NANING,15049,
38,JOHOR,N. 15 - MAHARANI,ASHARI BIN MD SARIP,BN,6731,,P.146 - MUAR,MAHARANI,23005,
39,JOHOR,N. 15 - MAHARANI,MOHAMMAD BIN TASLIM,PAS,3869,,P.146 - MUAR,MAHARANI,23005,
40,JOHOR,N. 15 - MAHARANI,NOR HAYATI BINTI BACHOK,PKR,12405,MENANG,P.146 - MUAR,MAHARANI,23005,
41,JOHOR,N. 16 - SUNGAI BALANG,ZAITON BINTI ISMAIL,BN,8022,MENANG,P.146 - MUAR,SUNGAI BALANG,19016,
42,JOHOR,N. 16 - SUNGAI BALANG,NA'IM BIN JUSRI,PKR,7848,,P.146 - MUAR,SUNGAI BALANG,19016,
43,JOHOR,N. 16 - SUNGAI BALANG,CHEMAN BIN YUSOH ,PAS,3146,,P.146 - MUAR,SUNGAI BALANG,19016,
44,JOHOR,N. 17 - SEMERAH,MOHD ISMAIL BIN ROSLAN,BN,12521,,P.147 - PARIT SULONG,SEMERAH,29454,
45,JOHOR,N. 17 - SEMERAH,ADNAN BIN OTHMAN,PAS,4314,,P.147 - PARIT SULONG,SEMERAH,29454,
46,JOHOR,N. 17 - SEMERAH,MOHD KHUZZAN BIN ABU BAKAR,PKR,12619,MENANG,P.147 - PARIT SULONG,SEMERAH,29454,
47,JOHOR,N. 18 - SRI MEDAN,ZULKURNAIN BIN KAMISAN,BN,11587,MENANG,P.147 - PARIT SULONG,SRI MEDAN,20372,
48,JOHOR,N. 18 - SRI MEDAN,SALLEHUDIN BIN AB. RASID,PAS,3238,,P.147 - PARIT SULONG,SRI MEDAN,20372,
49,JOHOR,N. 18 - SRI MEDAN,MOHD AJIB BIN OMAR,PKR,5547,,P.147 - PARIT SULONG,SRI MEDAN,20372,
50,JOHOR,N. 19 - YONG PENG,LING TIAN SOON,BN,7218,,P.148 - AYER HITAM,YONG PENG,20768,
51,JOHOR,N. 19 - YONG PENG,MUHAMMAD BIN ABDULLAH,PAS,1243,HILANG DEPOSIT,P.148 - AYER HITAM,YONG PENG,20768,
52,JOHOR,N. 19 - YONG PENG,CHEW PECK CHOO,PKR,12307,MENANG,P.148 - AYER HITAM,YONG PENG,20768,
53,JOHOR,N. 20 - SEMARANG,SAMSOLBARI BIN JAMALI,BN,10751,MENANG,P.148 - AYER HITAM,SEMARANG,18083,
